,dropout,negative_slope,accuracy,recall,precision,F1,AUC,AUPR
0,0.0,0.0,0.49332010323866626,0.959147637878981,0.025036644251834127,0.04313986064604332,0.9588671773087419,0.18836575451550033
1,0.0,0.2,0.49339634001199534,0.9663568603867112,0.02530548604819175,0.04354572623148646,0.9662697460102565,0.19135792708863902
2,0.0,0.4,0.49334382411659294,0.9618209319701858,0.02531695439245519,0.04354010297642017,0.9616144422812621,0.19140904811720244
3,0.0,0.6,0.4933569919949646,0.9629198330690867,0.025103459717143985,0.043289754818277904,0.9627433134060424,0.19146223442947016
4,0.0,0.8,0.49336332641067643,0.9629055576816772,0.025015125216004224,0.04322337974771299,0.9628230147702668,0.1852139911957458
5,0.2,0.0,0.4935763358216442,0.9828467552348149,0.025401785622608797,0.04401754777911647,0.9832130899968681,0.19046733016983647
6,0.2,0.2,0.49356846679574706,0.9821162806237433,0.025385444735601264,0.04396068242504668,0.9824599616750312,0.1876527723757209
7,0.2,0.4,0.4935650555730981,0.9819688189091174,0.02580272400660688,0.04445388526690714,0.98230597226505,0.2021448320141183
8,0.2,0.6,0.493559758490964,0.9814670542282483,0.02570504572102687,0.044305343916424725,0.981791608728461,0.19255985433828618
9,0.2,0.8,0.49355272790175225,0.9806840340422431,0.02542810372159046,0.043972347087701064,0.9809868912476216,0.19144380436558134
10,0.4,0.0,0.4935505655597736,0.9804897976539767,0.02579558206772411,0.04443178845374697,0.9807877123286903,0.2000236183073364
11,0.4,0.2,0.49358152969120994,0.9833088829357488,0.02546074644071533,0.04409622755012756,0.9836900080339808,0.1936762798318652
12,0.4,0.4,0.49359274981693096,0.9841426263068053,0.02581722817063679,0.0445657481694948,0.9845430503023843,0.19962112293891443
13,0.4,0.6,0.4935468478963451,0.9798837011523579,0.02544069302191217,0.04398209874724781,0.980164706844527,0.19025582254459464
14,0.4,0.8,0.49359339050830425,0.9846138659571496,0.025904045412059356,0.044610574057097396,0.9850248715268008,0.19509530014435195
15,0.6,0.0,0.4935644206396283,0.9816338029024596,0.02566044101419952,0.04426753929910289,0.9819624387069898,0.19841853072250384
16,0.6,0.2,0.49356095953806617,0.981612086089698,0.025858571407996894,0.04451141384213693,0.9819389348426195,0.19866396048372623
17,0.6,0.4,0.4935518852540629,0.9807672565135253,0.025684209307123763,0.04430020640206908,0.981071827696413,0.1998594519270225
18,0.6,0.6,0.4935913994080939,0.9843792332598305,0.025898513345537538,0.04464854234032359,0.9847815588520247,0.1994157486025691
19,0.6,0.8,0.4935908736513491,0.9843036040797234,0.02598711471154962,0.04474518170456683,0.984703016203158,0.20370654081005915
20,0.8,0.0,0.4935342020277842,0.9791260425588785,0.02493115432874183,0.043373778277981896,0.9793955019808631,0.18274706396000226
21,0.8,0.2,0.49351210726773836,0.9770816248428188,0.02483892881966885,0.04314905707424924,0.9772949425311697,0.1807219485698261
22,0.8,0.4,0.4935154103621165,0.977326128818666,0.024834230885143374,0.043129811634788254,0.9775450550047562,0.1766318490698164
23,0.8,0.6,0.4934728435567271,0.9728921023697144,0.024629186298814568,0.04281892489790762,0.9729914764219658,0.1757129559223254
24,0.8,0.8,0.4935102673511668,0.9769206470699009,0.025187426127685226,0.043634646519834216,0.9771254202512595,0.19145112401446648
