,dropout,negative_slope,accuracy,recall,precision,F1,AUC,AUPR
0,0.4,0.4,0.4935742291336699,0.9825819012386177,0.025809776063931738,0.044466604915932316,0.9829377611314335,0.19633546962698778
1,0.4,0.5,0.49358063192233725,0.9832191302340556,0.02580243069237472,0.04453099129603989,0.9835931841250378,0.19787884246351867
2,0.4,0.6,0.4935700855056986,0.9821097503933325,0.025754300644683016,0.044419998887775036,0.9824517995764078,0.1961675759221701
3,0.4,0.7,0.49360682593152816,0.9857639458385726,0.02585221610527564,0.04464201154906029,0.9862060217356826,0.1994763982924055
4,0.4,0.8,0.49358295230587534,0.9835805708940037,0.025775328184924014,0.04451892882621224,0.9839654176311821,0.20452129285885956
5,0.4,0.9,0.4935679968648845,0.9822965453562468,0.025559799715372616,0.04418257482874771,0.9826441689463152,0.19377489647583734
6,0.5,0.4,0.4935924989785926,0.984366628396479,0.025684539090858695,0.04439679480664314,0.9847714701112377,0.19886626974305358
7,0.5,0.5,0.49361465193643295,0.9864212211227136,0.02589351422036863,0.04473599564026884,0.986880308662115,0.20162046611151574
8,0.5,0.6,0.4935864113105294,0.9836155000334106,0.02543984831008836,0.04413341644458436,0.9840031236563596,0.19486885082604744
9,0.5,0.7,0.4935737143427235,0.982711594651893,0.02566944937909893,0.044352936631374976,0.9830710941293594,0.19794936820567424
10,0.5,0.8,0.49358636882235807,0.9839975944453556,0.02586515738541565,0.04458611562803053,0.9843882730751621,0.20175757225524418
11,0.5,0.9,0.49356767323633344,0.9821650295530893,0.025917404529264478,0.044622742851134205,0.9825113300892033,0.19897455465133834
12,0.6,0.4,0.49356394374771817,0.9818382143009009,0.025811613018391667,0.044507764993557866,0.9821745159881952,0.20377688273809258
13,0.6,0.5,0.4935885108827661,0.9839634246350663,0.02585755890480453,0.044603926216644274,0.984355593089977,0.20124233024192492
14,0.6,0.6,0.49357675606265916,0.9829100832832175,0.02556061550116599,0.04413682516480216,0.9832749812313268,0.19232039692911942
15,0.6,0.7,0.4935666221353506,0.9818169530856096,0.025584094770479494,0.04419109180465546,0.9821512496390228,0.19161278231573098
16,0.6,0.8,0.49354830841004704,0.980366027007818,0.02550080533592578,0.04403412198406068,0.9806635570116135,0.1930079832562821
17,0.6,0.9,0.4935840562248804,0.9837432191909805,0.025708767117937802,0.04434772966209412,0.9841298112988554,0.19456383431796317
18,0.7,0.4,0.49356590002550327,0.9820002551345836,0.02543562198334714,0.04402661187732004,0.982340742305975,0.19573563057990295
19,0.7,0.5,0.493576288434958,0.9828200268498776,0.025397042540429064,0.044021858169106975,0.9831857172478291,0.19205632885756244
20,0.7,0.6,0.49357218677952475,0.9826431031654913,0.025796697025374238,0.04445825659299629,0.982999373119781,0.20026847537827702
21,0.7,0.7,0.49357113414883014,0.9822081594469653,0.02571891123018455,0.04438142084529629,0.982555513766141,0.19807409271969548
22,0.7,0.8,0.49354606062765594,0.9801875846651965,0.02557546418028519,0.04412822269251406,0.980476005027132,0.19315986434155782
23,0.7,0.9,0.49359244880748737,0.9845399073011013,0.02580433749290284,0.04454033038169306,0.9849481038067778,0.20015175478674618
24,0.8,0.4,0.4935075848728448,0.9762995158517548,0.02498353918526164,0.04334244737701517,0.9764895487755301,0.18629976243276397
25,0.8,0.5,0.49349236797147256,0.9748879230222514,0.024685070482371417,0.04295872748576034,0.9750438600673556,0.17569900956457932
26,0.8,0.6,0.4935314618844885,0.9786549547743576,0.02478657760158138,0.04315712305785674,0.9789134877022215,0.17881025135198422
27,0.8,0.7,0.49353624032561527,0.9793757099727249,0.025036581351971003,0.043504119844638665,0.9796543568857732,0.18890335045133214
28,0.8,0.8,0.4935410142635459,0.9796885535691505,0.0252945952077756,0.043818866133947164,0.9799690407324719,0.19164223418488993
29,0.8,0.9,0.4935257970871694,0.9782157588127738,0.024974472646990785,0.04336275639254568,0.9784586375180526,0.18574653064642305
30,0.9,0.4,0.49304144131848104,0.9337465602390976,0.024030182275418505,0.0414674456248064,0.932782345265235,0.1781236690598577
31,0.9,0.5,0.4931509460721483,0.943758618385484,0.024175691323422264,0.04176940937753734,0.9430709459261162,0.17721401558015962
32,0.9,0.6,0.4931919436339928,0.9474954288387124,0.024036776692879618,0.0416767315969728,0.9469141177220093,0.17427403413938558
33,0.9,0.7,0.4931109027410063,0.9396893736445975,0.023733838356718707,0.04119590125753643,0.9389018244969782,0.17536059545959548
34,0.9,0.8,0.49318245060431076,0.9468673117926849,0.024050738649352397,0.04161585461753675,0.9462551269303252,0.17161251845566733
35,0.9,0.9,0.4930309273007918,0.9324563082025769,0.0237256215431179,0.041023307863162335,0.9314622400853931,0.17138777490685894
