,accuracy,recall,precision,F1,AUC,AUPR
0,0.4935865190262939,0.983825986064792,0.025830278669160822,0.04453979106038462,0.9842144942420993,0.19647319648603914
1,0.493563065727595,0.9816805775760999,0.02558731521101148,0.04422337216219036,0.9820098633548546,0.19248467957626278
2,0.4935663677047679,0.9819454315722972,0.025524755911476054,0.04413124967056766,0.9822840299948543,0.19459801258357656
3,0.49357670822909083,0.9830332464660823,0.025684535784593277,0.04436450520218162,0.9834013081159274,0.1944918221713197
4,0.4935560762515328,0.9809385611624417,0.02517884592056043,0.043706511690798644,0.981261477536805,0.19070366039426606
5,0.49354899320524215,0.9802615433212448,0.02509426303705206,0.043522069794097326,0.9805601220679914,0.1869676952112658
6,0.4935584425092333,0.9811909621611115,0.025062516851611656,0.04351828534108035,0.9815138489398272,0.18261652644502524
7,0.4935375063768695,0.979198330690868,0.024776482478909338,0.04319361971140486,0.9794736834818262,0.18389460493861565
8,0.4934662923344645,0.9728966583444196,0.02465534645364407,0.04282668271242116,0.9729965711034603,0.18635572738434003
9,0.4933551496205416,0.962653916012125,0.024255761835775567,0.042072343027368016,0.9624729509092943,0.17540889807091392
10,0.49357334652441176,0.98273786743936,0.025275187301671765,0.043906062631745214,0.9831072026795771,0.19804420803765888
