,accuracy,recall,precision,F1,AUC,AUPR
0,0.4946,0.9083,0.0166,0.0293,0.9074,0.1264
1,0.4949,0.9418,0.0172,0.0305,0.9415,0.1322
2,0.4949,0.9412,0.0174,0.0307,0.9409,0.1365
3,0.495,0.9504,0.0178,0.0313,0.9503,0.1426
4,0.4948381594038412,0.9339659020473384,0.017087399716736,0.030193150119879,0.9335621631933207,0.131730622907625
5,0.4948682450357161,0.9375745391897848,0.0168857827253076,0.0300054555337981,0.9372537984102716,0.1264217304648878
6,0.4948153004763871,0.9312665357865886,0.0166552781699126,0.0295325429591642,0.9308110535297752,0.1204401307742085
7,0.4947844758568641,0.9272093083545642,0.0163709778642686,0.0290702775768855,0.9266770219041184,0.1175747210379021
8,0.4946840495834698,0.9148643317220786,0.0160921849160626,0.0284838053697414,0.914076107094096,0.113772260154389
9,0.4941253887042126,0.8458853613067896,0.0150892833757467,0.02649326052955,0.8436979350021285,0.109030977043755
10,0.4916030497227372,0.5352258624062295,0.0052449241026163,0.009955977354184,0.5269653851545635,0.0063449655679466
