,accuracy,recall,precision,F1,AUC,AUPR
10,0.49519180743839364,0.977395517867959,0.019078857606513278,0.033552588139055935,0.9778665950051804,0.1669107111200387
9,0.4951976310714278,0.9781943027100661,0.019490539793729743,0.034051339918652085,0.978677270327211,0.17623312381867803
8,0.49515391640103557,0.9727085341509805,0.01912732052261748,0.03350843849947045,0.9730816537274868,0.16980690965506456
7,0.4951806334161793,0.9760461175516785,0.01940549925190366,0.03388716720623048,0.9764842340563133,0.17171470926206917
6,0.4951372948117399,0.970659805282496,0.019047667022879872,0.03329692675563587,0.9709896487387938,0.1649865789039052
5,0.49512244701500696,0.9688492294494317,0.018943849319458337,0.03314168054581336,0.9691429731583392,0.16568971712427868
4,0.4951327772205086,0.9701629951898036,0.01908200851467101,0.03331531027593079,0.9704820645531681,0.16718760971529195
3,0.4951199929748369,0.9686002116392141,0.018893995616387424,0.033029331948795405,0.968888055679906,0.16425619429301547
2,0.495109028255864,0.9671964874489463,0.018922280296321436,0.03310459103026092,0.9674558991084654,0.1641477116707007
1,0.4951276981532976,0.9696211469525602,0.019085480118350297,0.03333877273244841,0.9699297450103765,0.16947283457571627
0,0.49129731093956164,0.4989308213156983,0.005573673341117304,0.010300479837909058,0.4901073117523724,0.00916331606168154
